keys,en,ja,zh
[SKILLS],[Skills],[スキル],[技能]
ALCHEMY,Alchemy,錬金術,炼金术
ALLURING_HIDE,Alluring Hide,魅惑色の柔皮,魅惑色的柔皮
AMBITIOUS_PIERCING,Ambitious Piercing,凄腕のピアス,超凡耳饰
AMMO_MIXER_ACTIVATED,Ammo Mixer,最大数弾生産,最大数弹生产
AMMO_MIXER_SKILL,Ammo Mixer,弾調合,弹调合
ANCIENT_POTION,Ancient Potion,いにしえの秘薬,古代的秘药
ANTI_THEFT_MH1,Stealing Negated,盗み無効,偷盗无效
ANTI_THEFT_MHG,Anti-Theft,盗み無効,偷盗无效
ANTISEPTIC_STONE,Antiseptic Stone,抗菌石,抗菌石
APP_TITLE,Monster Hunter Armor Wardrobe,,怪物猎人防具展柜
ARMOR,Armor,防具,防具
ARMOR_CODE_COPY,Copy this armor code to the armor builder at https://www.mh1g.info/armor. Or copy the code from the builder into the input here and press Ok.,,复制下方防具组合代码到 https://www.mh1g.info/armor 处的防具配置组合工具导出粘贴使用，或从前述组合工具中复制代码到此处进行导入。
ARMOR_RESTRICTIONS_TOOLTIP,"Please note! Armor combinations made with
restrictions off will not be valid in-game (sadly.)",,请注意！解除类型限制的防具搭配无法用于游戏中(允悲)
ARMOR_SETS,Sets,,
ARMS,Arms,腕,腕
ATTACK_STAT,Attack,攻撃,攻击
ATTACK_UP_L,Attack Up [L],攻撃力UP【大】,攻击力UP【大】
ATTACK_UP_M,Attack Up [M],攻撃力UP【中】,攻击力UP【中】
ATTACK_UP_S,Attack Up [S],攻撃力UP【小】,攻击力UP【小】
ATTACK_UP_SKILL,Attack,攻撃,攻击
AUDIO,Audio,音響,
AUDIO_OPTIONS,Audio Options,音響の選択肢,
AUROROS_GAUNTLETS,Auroros Gauntlets,暁丸【篭手】,晓丸【笼手】
AUROROS_GAUNTLETS_HAKU,Auroros Gauntlets Haku,暁丸・覇【篭手】,晓丸・霸【笼手】
AUROROS_GAUNTLETS_MAI,Auroros Gauntlets Mai,暁丸・羅【篭手】,晓丸・罗【笼手】
AUROROS_GAUNTLETS_TEN,Auroros Gauntlets Ten,暁丸・皇【篭手】,晓丸・皇【笼手】
AUROROS_HELM,Auroros Helm,暁丸【兜】,晓丸【兜】
AUROROS_HELM_HAKU,Auroros Helm Haku,暁丸・覇【兜】,晓丸・霸【兜】
AUROROS_HELM_MAI,Auroros Helm Mai,暁丸・羅【兜】,晓丸・罗【兜】
AUROROS_HELM_TEN,Auroros Helm Ten,暁丸・皇【兜】,晓丸・皇【兜】
AUROROS_PANTS,Auroros Pants,暁丸【具足】,晓丸【具足】
AUROROS_PANTS_HAKU,Auroros Pants Haku,暁丸・覇【具足】,晓丸・霸【具足】
AUROROS_PANTS_MAI,Auroros Pants Mai,暁丸・羅【具足】,晓丸・罗【具足】
AUROROS_PANTS_TEN,Auroros Pants Ten,暁丸・皇【具足】,晓丸・皇【具足】
